step,name,x,y,z
2100,Gezegen1,-5.08135,8.63349,0
2100,Gezegen2,-13.3773,14.7108,0
2150,Merkez,0.00837999,0.0408013,0
2150,Gezegen1,-5.50705,8.37017,0
2150,Gezegen2,-13.6316,14.4677,0
2200,Merkez,0.00829147,0.0428241,0
2200,Gezegen1,-5.91901,8.08604,0
2200,Gezegen2,-13.8815,14.22,0
2250,Merkez,0.00816589,0.0448897,0
2250,Gezegen1,-6.31622,7.78183,0
2250,Gezegen2,-14.1269,13.9677,0
2300,Merkez,0.00800184,0.046997,0
2300,Gezegen1,-6.69768,7.45831,0
2300,Gezegen2,-14.3678,13.7109,0
2350,Merkez,0.00779798,0.0491447,0
2350,Gezegen1,-7.06246,7.11633,0
2350,Gezegen2,-14.6041,13.4498,0
2400,Merkez,0.00755299,0.0513316,0
2400,Gezegen1,-7.40964,6.75674,0
2400,Gezegen2,-14.8357,13.1843,0
2450,Merkez,0.00726562,0.0535563,0
2450,Gezegen1,-7.73838,6.38047,0
2450,Gezegen2,-15.0624,12.9146,0
2500,Merkez,0.00693467,0.0558176,0
2500,Gezegen1,-8.04786,5.98849,0
2500,Gezegen2,-15.2844,12.6408,0
2550,Merkez,0.00655901,0.0581139,0
2550,Gezegen1,-8.33733,5.58177,0
2550,Gezegen2,-15.5013,12.3629,0
2600,Merkez,0.00613755,0.0604438,0
2600,Gezegen1,-8.60608,5.16137,0
2600,Gezegen2,-15.7133,12.081,0
2650,Merkez,0.00566927,0.0628058,0
2650,Gezegen1,-8.85345,4.72834,0
2650,Gezegen2,-15.9202,11.7952,0
2700,Merkez,0.00515321,0.0651983,0
2700,Gezegen1,-9.07885,4.28378,0
2700,Gezegen2,-16.1219,11.5056,0
2750,Merkez,0.00458847,0.0676199,0
2750,Gezegen1,-9.28174,3.82882,0
2750,Gezegen2,-16.3183,11.2123,0
2800,Merkez,0.00397423,0.0700688,0
2800,Gezegen1,-9.46164,3.36459,0
2800,Gezegen2,-16.5095,10.9153,0
2850,Merkez,0.00330972,0.0725436,0
2850,Gezegen1,-9.61811,2.89227,0
2850,Gezegen2,-16.6953,10.6148,0
2900,Merkez,0.00259425,0.0750424,0
2900,Gezegen1,-9.7508,2.41304,0
2900,Gezegen2,-16.8757,10.3109,0
2950,Merkez,0.00182718,0.0775636,0
2950,Gezegen1,-9.8594,1.92811,0
2950,Gezegen2,-17.0506,10.0037,0
3000,Merkez,0.00100797,0.0801056,0
3000,Gezegen1,-9.94367,1.43867,0
3000,Gezegen2,-17.2199,9.69315,0
3050,Merkez,0.000136108,0.0826666,0
3050,Gezegen1,-10.0034,0.945948,0
3050,Gezegen2,-17.3835,9.3795,0
3100,Merkez,-0.000788813,0.0852449,0
3100,Gezegen1,-10.0385,0.451171,0
3100,Gezegen2,-17.5415,9.06279,0
3150,Merkez,-0.00176715,0.0878387,0
3150,Gezegen1,-10.049,-0.0444356,0
3150,Gezegen2,-17.6938,8.74314,0
3200,Merkez,-0.00279918,0.0904464,0
3200,Gezegen1,-10.0347,-0.539647,0
3200,Gezegen2,-17.8402,8.42064,0
3250,Merkez,-0.00388513,0.0930662,0
3250,Gezegen1,-9.99581,-1.03324,0
3250,Gezegen2,-17.9808,8.0954,0
3300,Merkez,-0.00502514,0.0956964,0
3300,Gezegen1,-9.9324,-1.524,0
3300,Gezegen2,-18.1155,7.76753,0
3350,Merkez,-0.00621927,0.0983352,0
3350,Gezegen1,-9.84466,-2.01073,0
3350,Gezegen2,-18.2442,7.43711,0
3400,Merkez,-0.00746756,0.100981,0
3400,Gezegen1,-9.73283,-2.49222,0
3400,Gezegen2,-18.3669,7.10428,0
3450,Merkez,-0.00876993,0.103632,0
